"trust_pilot_score","site_jabber_review","tranco_rank","shop_id","review_id"
"","0","-1","0","0"
"","0","-1","1","1"
"-1.0","0","-1","2","2"
"-1.0","0","-1","3","3"
"","0","-1","4","4"
"","0","-1","5","5"
"3.2","0","-1","6","6"
"3.7","0","-1","7","7"
"-1.0","0","-1","8","8"
"4.5","0","-1","9","9"
"-1.0","0","-1","10","10"
"-1.0","0","-1","11","11"
"4.8","0","-1","12","12"
"","0","-1","13","13"
"","0","-1","14","14"
"4.6","0","-1","15","15"
"","0","-1","16","16"
"2.9","0","-1","17","17"
"-1.0","0","-1","18","18"
"","0","-1","19","19"
"","0","-1","20","20"
"","0","-1","21","21"
"","0","-1","22","22"
"","0","-1","23","23"
"","0","-1","24","24"
"3.6","0","-1","25","25"
"-1.0","0","-1","26","26"
"","0","-1","27","27"
"","0","-1","28","28"
"-1.0","0","-1","29","29"
"-1.0","0","-1","30","30"
"","0","-1","31","31"
"-1.0","0","-1","32","32"
"2.9","0","-1","33","33"
"","0","-1","34","34"
"","0","-1","35","35"
"","0","-1","36","36"
"","0","-1","37","37"
"3.9","1","90036","38","38"
"","0","-1","39","39"
"4.9","0","802243","40","40"
"","0","-1","41","41"
"4.4","1","-1","42","42"
"","0","-1","43","43"
"3.3","0","-1","44","44"
"3.1","0","804620","45","45"
"1.7","1","-1","46","46"
"-1.0","0","-1","47","47"
"-1.0","0","-1","48","48"
"-1.0","0","-1","49","49"
"2.6","0","-1","50","50"
"-1.0","0","-1","51","51"
"","0","-1","52","52"
"4.0","0","-1","53","53"
"","0","-1","54","54"
"","0","-1","55","55"
"4.4","0","-1","56","56"
"","0","-1","57","57"
"4.7","0","-1","58","58"
"","0","-1","59","59"
"-1.0","0","-1","60","60"
"","0","-1","61","61"
"3.8","0","-1","62","62"
"-1.0","0","-1","63","63"
"","0","-1","64","64"
"","0","-1","65","65"
"-1.0","0","-1","66","66"
"","0","-1","67","67"
"1.5","0","-1","68","68"
"","0","-1","69","69"
"3.1","0","-1","70","70"
"-1.0","1","-1","71","71"
"","0","-1","72","72"
"","0","-1","73","73"
"-1.0","0","-1","74","74"
"","0","-1","75","75"
"-1.0","0","-1","76","76"
"2.9","0","-1","77","77"
"","0","-1","78","78"
"","0","-1","79","79"
"","0","-1","80","80"
"","0","-1","81","81"
"2.9","0","-1","82","82"
"-1.0","0","-1","83","83"
"2.6","1","-1","84","84"
"-1.0","0","-1","85","85"
"1.4","1","-1","86","86"
"","0","-1","87","87"
"","0","-1","88","88"
"-1.0","0","-1","89","89"
"-1.0","0","-1","90","90"
"4.1","0","-1","91","91"
"","0","-1","92","92"
"-1.0","0","-1","93","93"
"","0","-1","94","94"
"","0","-1","95","95"
"","0","-1","96","96"
"","0","-1","97","97"
"-1.0","0","-1","98","98"
"","0","-1","99","99"
"","0","-1","100","100"
"3.7","0","-1","101","101"
"","0","-1","102","102"
"4.7","0","-1","103","103"
"","0","-1","104","104"
"-1.0","0","-1","105","105"
"","0","-1","106","106"
"","0","-1","107","107"
"2.8","0","-1","108","108"
"4.8","0","-1","109","109"
"-1.0","0","-1","110","110"
"","0","-1","111","111"
"-1.0","0","-1","112","112"
"-1.0","0","-1","113","113"
"","0","-1","114","114"
"","0","-1","115","115"
"","0","-1","116","116"
"","0","-1","117","117"
"-1.0","0","-1","118","118"
"","0","-1","119","119"
"-1.0","0","-1","120","120"
"-1.0","0","-1","121","121"
"","0","-1","122","122"
"-1.0","0","-1","123","123"
"-1.0","0","-1","124","124"
"-1.0","0","-1","125","125"
"3.2","0","-1","126","126"
"3.6","0","-1","127","127"
"","0","-1","128","128"
"","0","-1","129","129"
"2.1","0","-1","130","130"
"","0","-1","131","131"
"","0","-1","132","132"
"4.8","0","-1","133","133"
"4.0","1","-1","134","134"
"","0","-1","135","135"
"","0","-1","136","136"
"","0","-1","137","137"
"2.8","0","-1","138","138"
"","0","-1","139","139"
"3.2","0","-1","140","140"
"-1.0","0","-1","141","141"
"-1.0","0","-1","142","142"
"","0","-1","143","143"
"-1.0","0","-1","144","144"
"-1.0","0","-1","145","145"
"","0","-1","146","146"
"","0","-1","147","147"
"","0","-1","148","148"
"","0","-1","149","149"
"4.9","0","-1","150","150"
"2.7","0","-1","151","151"
"2.4","0","-1","152","152"
"","0","-1","153","153"
"-1.0","0","-1","154","154"
"-1.0","0","-1","155","155"
"","0","-1","156","156"
"-1.0","0","-1","157","157"
"","0","-1","158","158"
"","0","-1","159","159"
"3.2","0","35556","160","160"
"","0","-1","161","161"
"","0","-1","162","162"
"","0","-1","163","163"
"","0","-1","164","164"
"-1.0","0","-1","165","165"
"","0","-1","166","166"
"4.8","1","-1","167","167"
"","0","-1","168","168"
"","0","-1","169","169"
"","0","-1","170","170"
"3.3","0","459343","171","171"
"","0","-1","172","172"
"-1.0","0","-1","173","173"
"3.9","0","-1","174","174"
"-1.0","0","-1","175","175"
"","0","-1","176","176"
"","0","-1","177","177"
"","0","-1","178","178"
"","0","-1","179","179"
"","0","-1","180","180"
"","0","-1","181","181"
"-1.0","0","-1","182","182"
"-1.0","0","-1","183","183"
"-1.0","0","-1","184","184"
"4.9","0","-1","185","185"
"","0","-1","186","186"
"-1.0","0","-1","187","187"
"","0","-1","188","188"
"-1.0","0","-1","189","189"
"-1.0","0","-1","190","190"
"-1.0","0","-1","191","191"
"","0","-1","192","192"
"","0","-1","193","193"
"","0","-1","194","194"
"","0","-1","195","195"
"","0","-1","196","196"
"-1.0","0","-1","197","197"
"","0","-1","198","198"
"4.9","0","-1","199","199"
"4.6","0","825217","200","200"
"","0","-1","201","201"
"","0","-1","202","202"
"","0","-1","203","203"
"4.1","0","-1","204","204"
"2.6","0","-1","205","205"
"-1.0","1","-1","206","206"
"","0","-1","207","207"
"","0","-1","208","208"
"-1.0","0","-1","209","209"
"","0","-1","210","210"
"2.3","0","-1","211","211"
"","0","-1","212","212"
"","0","-1","213","213"
"","0","-1","214","214"
"3.2","0","-1","215","215"
"-1.0","0","-1","216","216"
"-1.0","0","-1","217","217"
"4.2","0","-1","218","218"
"2.2","0","-1","219","219"
"","0","-1","220","220"
"","0","-1","221","221"
"","0","-1","222","222"
"3.2","0","-1","223","223"
"","0","-1","224","224"
"-1.0","0","-1","225","225"
"","0","-1","226","226"
"","0","-1","227","227"
"","0","-1","228","228"
"3.1","0","-1","229","229"
"3.4","1","-1","230","230"
"","0","-1","231","231"
"","0","-1","232","232"
"2.9","1","-1","233","233"
"-1.0","0","-1","234","234"
"","0","-1","235","235"
"4.8","0","-1","236","236"
"","0","-1","237","237"
"-1.0","0","-1","238","238"
"","0","-1","239","239"
"-1.0","0","-1","240","240"
"","0","-1","241","241"
"2.5","0","-1","242","242"
"-1.0","0","-1","243","243"
"","0","-1","244","244"
"","0","-1","245","245"
"","0","-1","246","246"
"-1.0","0","-1","247","247"
"","0","-1","248","248"
"","0","-1","249","249"
"","0","-1","250","250"
"4.1","0","-1","251","251"
"2.3","0","-1","252","252"
"","0","-1","253","253"
"3.8","0","-1","254","254"
"","0","-1","255","255"
"-1.0","0","-1","256","256"
"","0","-1","257","257"
"-1.0","0","-1","258","258"
"","0","-1","259","259"
"-1.0","0","-1","260","260"
"-1.0","0","-1","261","261"
"-1.0","0","-1","262","262"
"","0","-1","263","263"
"","0","-1","264","264"
"","0","-1","265","265"
"","0","-1","266","266"
"","0","-1","267","267"
"","0","-1","268","268"
"","0","-1","269","269"
"1.6","1","-1","270","270"
"","0","-1","271","271"
"","0","-1","272","272"
"","0","-1","273","273"
"-1.0","0","-1","274","274"
"","0","-1","275","275"
"","0","-1","276","276"
"","0","-1","277","277"
"","0","-1","278","278"
"4.8","0","802653","279","279"
"-1.0","0","-1","280","280"
"","0","-1","281","281"
"4.4","0","-1","282","282"
"4.5","0","-1","283","283"
"-1.0","0","-1","284","284"
"","0","-1","285","285"
"","0","-1","286","286"
"-1.0","0","-1","287","287"
"","0","-1","288","288"
"3.2","0","-1","289","289"
"3.8","0","-1","290","290"
"-1.0","0","-1","291","291"
"4.7","1","-1","292","292"
"","0","-1","293","293"
"-1.0","0","-1","294","294"
"-1.0","0","-1","295","295"
"3.9","0","-1","296","296"
"","0","-1","297","297"
"-1.0","0","-1","298","298"
"","0","-1","299","299"
"","0","-1","300","300"
"","0","-1","301","301"
"","0","-1","302","302"
"","0","-1","303","303"
"","0","-1","304","304"
"3.6","0","-1","305","305"
"","0","-1","306","306"
"","0","-1","307","307"
"-1.0","0","-1","308","308"
"","0","-1","309","309"
"-1.0","0","-1","310","310"
"","0","-1","311","311"
"-1.0","0","-1","312","312"
"3.5","0","-1","313","313"
"4.8","0","-1","314","314"
"-1.0","0","-1","315","315"
"","0","-1","316","316"
"-1.0","0","-1","317","317"
"1.8","0","-1","318","318"
"","0","-1","319","319"
"","0","-1","320","320"
"","0","-1","321","321"
"-1.0","0","-1","322","322"
"-1.0","0","-1","323","323"
"","0","-1","324","324"
"3.8","0","682488","325","325"
"-1.0","0","-1","326","326"
"-1.0","0","-1","327","327"
"4.9","0","-1","328","328"
"","0","-1","329","329"
"","0","-1","330","330"
"2.8","0","-1","331","331"
"","0","-1","332","332"
"-1.0","0","-1","333","333"
"","0","-1","334","334"
"","0","-1","335","335"
"-1.0","0","-1","336","336"
"4.0","0","-1","337","337"
"1.7","1","-1","338","338"
"4.8","0","-1","339","339"
"","0","-1","340","340"
"-1.0","0","538286","341","341"
"-1.0","0","-1","342","342"
"4.1","0","-1","343","343"
"-1.0","0","-1","344","344"
"4.4","0","-1","345","345"
"","0","-1","346","346"
"","0","-1","347","347"
"3.6","0","-1","348","348"
"-1.0","0","-1","349","349"
"","0","-1","350","350"
"-1.0","0","-1","351","351"
"-1.0","0","-1","352","352"
"","0","-1","353","353"
"","0","-1","354","354"
"","0","-1","355","355"
"-1.0","0","-1","356","356"
"","0","-1","357","357"
"1.9","0","100803","358","358"
"3.2","0","-1","359","359"
"","0","-1","360","360"
"","0","-1","361","361"
"3.7","0","-1","362","362"
"","0","-1","363","363"
"","0","-1","364","364"
"","0","-1","365","365"
"-1.0","0","-1","366","366"
"","0","-1","367","367"
"-1.0","0","-1","368","368"
"","0","-1","369","369"
"-1.0","0","-1","370","370"
"","0","-1","371","371"
"-1.0","0","-1","372","372"
"-1.0","0","-1","373","373"
