"shop_id","domain_url","domain_registration_date","is_young_domain","contact_email","logo_url","legitimate"
"0","https://www.allaccessorybest.com","2023-05-15 03:35:00","1","0","0","0"
"1","https://www.b-watches.shop","2023-06-18 05:43:00","1","1","0","0"
"2","https://www.waeschenamen-windrath.de","","2","2","1","1"
"3","https://vendoprint.se","2022-09-20 00:00:00","1","2","1","1"
"4","https://www.newbikeland.com","2023-07-27 09:05:00","1","0","1","0"
"5","https://www.hats-storeofficial.com","2023-06-15 08:46:00","1","0","1","0"
"6","https://balaganstudio.com","2015-04-16 00:22:00","0","2","1","1"
"7","https://www.bootscleaner.com","2022-09-14 00:00:00","1","2","1","1"
"8","https://shop.tovarseasycleaning.com","2020-11-08 20:10:00","0","1","1","1"
"9","https://camerabebelusului.ro","2012-10-23 00:00:00","0","2","1","1"
"10","https://www.kaffee-partner-shop.de","","2","0","1","1"
"11","https://www.vitobaldai.lt","2015-04-10 00:00:00","0","1","1","1"
"12","https://www.mcsport.ie","2002-10-20 00:00:00","0","2","1","1"
"13","https://www.family-pills.com","2015-11-30 13:10:00","0","0","0","0"
"14","https://www.ebnblog.com","2022-10-13 08:04:00","1","0","0","0"
"15","https://www.mrmarvis.com","2015-09-14 16:00:00","0","2","1","1"
"16","https://www.dirksen-container.com","2023-02-09 12:50:00","1","2","0","0"
"17","https://www.kindermobelre.com","2022-10-19 02:07:00","1","0","1","0"
"18","https://www.hard-wear.com","2004-10-11 16:40:00","0","3","1","1"
"19","https://www.kling-rasenmaher.com","2023-03-24 10:15:00","1","0","1","0"
"20","https://apoteknorsk24.com","2022-06-19 08:45:00","0","0","1","0"
"21","https://www.ladders-sale.com","2023-05-05 07:42:00","1","0","1","0"
"22","https://www.vogueon-sale.com","2023-06-29 06:20:00","1","0","1","0"
"23","https://idealica-official.store","2022-05-30 00:00:00","0","2","1","0"
"24","https://www.gearknifeshop.com","2023-07-12 00:00:00","1","0","0","0"
"25","https://dakonda.com/en","2009-01-30 17:19:00","0","2","1","1"
"26","https://www.svijet-boca.hr","2022-08-15 22:00:00","1","0","1","1"
"27","https://nangroupholdings.com","2023-03-15 00:00:00","1","2","1","0"
"28","https://www.fashionclothingde.com","2023-06-20 02:30:00","1","0","1","0"
"29","https://www.dortex.com","1999-05-18 23:05:00","0","2","1","1"
"30","https://www.presentationload.com","2006-08-03 12:34:00","0","0","1","1"
"31","https://www.golfseriesof.com","2023-07-20 08:27:00","1","0","1","0"
"32","https://www.cutestthings.com","2002-06-26 03:26:00","0","2","1","1"
"33","https://coloraydecor.com","2017-01-26 08:28:00","0","2","1","1"
"34","https://tractorexpress.co.za","2023-02-16 00:00:00","1","2","1","0"
"35","https://www.bikeoccur.com","2023-07-21 00:00:00","1","0","1","0"
"36","https://www.thekitchengears.com","2023-08-04 01:28:00","1","0","1","0"
