"ssl_organization","ssl_issuer","ssl_id"
"Google Trust Services LLC","GTS CA 1P5","0"
"Cloudflare, Inc.","Cloudflare Inc ECC CA-3","1"
"Let's Encrypt","R3","2"
"Let's Encrypt","E1","3"
"Sectigo Limited","Sectigo RSA Domain Validation Secure Server CA","4"
"DigiCert Inc","GeoTrust RSA CA 2018","5"
"DigiCert Inc","DigiCert SHA2 Extended Validation Server CA","6"
"DigiCert Inc","DigiCert Global G2 TLS RSA SHA256 2020 CA1","7"
"GlobalSign nv-sa","GlobalSign RSA OV SSL CA 2018","8"
"DigiCert Inc","Encryption Everywhere G3 TLS ECC P384 SHA384 2023 CA1","9"
"Amazon","Amazon RSA 2048 M01","10"
"ZeroSSL","ZeroSSL RSA Domain Secure Site CA","11"
"cPanel, Inc.","cPanel, Inc. Certification Authority","12"
"Unizeto Technologies S.A.","Certum Domain Validation CA SHA2","13"
"ZeroSSL","ZeroSSL ECC Domain Secure Site CA","14"
"DigiCert Inc","RapidSSL Global TLS RSA4096 SHA256 2022 CA1","15"
"GlobalSign nv-sa","AlphaSSL CA - SHA256 - G4","16"
"DigiCert Inc","DigiCert TLS RSA SHA256 2020 CA1","17"
"TrustAsia Technologies, Inc.","TrustAsia ECC DV TLS CA G2","18"
"Amazon","Amazon RSA 2048 M02","19"
"GoDaddy.com, Inc.","Go Daddy Secure Certificate Authority - G2","20"
"Sectigo Limited","Sectigo RSA Extended Validation Secure Server CA","21"
"DigiCert Inc","Encryption Everywhere DV TLS CA - G1","22"
"DigiCert Inc","Thawte TLS RSA CA G1","23"
"Dreamcommerce S.A.","Shoper SSL","24"
"Trust Provider B.V.","Trust Provider B.V. TLS RSA CA G1","25"
"DigiCert Inc","Encryption Everywhere DV TLS CA - G2","26"
"Sectigo Limited","Sectigo RSA Organization Validation Secure Server CA","27"
"Starfield Technologies, Inc.","Starfield Secure Certificate Authority - G2","28"
"DigiCert Inc","GeoTrust EV RSA CA 2018","29"
"DigiCert Inc","DigiCert EV RSA CA G2","30"
"DigiCert Inc","GeoTrust TLS RSA CA G1","31"
"DigiCert Inc","GeoTrust EV RSA CA G2","32"
"GlobalSign nv-sa","GlobalSign Atlas R3 DV TLS CA 2023 Q3","33"
"Soluciones Corporativas IP, SL","Don Dominio / MrDomain RSA DV CA","34"
"DigiCert Inc","GeoTrust Global TLS RSA4096 SHA256 2022 CA1","35"
"CentralNic Luxembourg Srl","GlobeSSL DV CA","36"
"DigiCert Inc","Thawte EV RSA CA 2018","37"
"Google Trust Services LLC","GTS CA 1D4","38"
"GlobalSign nv-sa","GlobalSign Domain Validation CA - SHA256 - G3","39"
"GlobalSign nv-sa","GlobalSign Atlas R3 DV TLS CA 2023 Q2","40"
"Unizeto Technologies S.A.","Certum Organization Validation CA SHA2","41"
"home.pl S.A.","Certyfikat SSL","42"
